JSON-index,JSON-ID,chan_name,event_time,pass_step1,pass_step2,pass_step3_NN,pass_step3_sig
0,0,CR5- SNR 0dB - #1,1.0,False,False,False,False
1,2,CR5- SNR 0dB - #1,6.418945,False,False,False,False
2,16,CR5- SNR 0dB - #1,43.435547,False,False,False,False
3,20,CR5- SNR 0dB - #1,54.219238,False,False,False,False
4,22,CR5- SNR 0dB - #1,60.201172,True,False,False,False
5,23,CR5- SNR 0dB - #1,63.246094,False,False,False,False
6,42,CR5- SNR 0dB - #2,1.0,False,False,False,False
7,56,CR5- SNR 0dB - #2,41.711914,False,False,False,False
8,62,CR5- SNR 0dB - #2,58.646484,False,False,False,False
9,70,CR5- SNR 0dB - #2,81.791016,False,True,False,False
10,73,CR5- SNR 0dB - #2,89.97168,False,False,False,False
11,82,CR5- SNR 0dB - #2,115.977539,False,True,False,False
12,93,CR5- SNR 0dB - #3,26.000488,False,False,False,False
13,102,CR5- SNR 0dB - #3,51.781738,False,False,False,False
14,115,CR5- SNR 0dB - #3,89.538086,False,False,False,False
15,120,CR5- SNR 0dB - #3,104.685059,False,False,False,False
16,121,CR5- SNR 0dB - #3,107.789063,False,False,False,False
17,122,CR5- SNR 0dB - #3,110.047852,False,True,False,False
18,126,CR5- SNR 0dB - #4,1.0,False,False,False,False
19,130,CR5- SNR 0dB - #4,12.604492,True,False,False,False
20,140,CR5- SNR 0dB - #4,39.662109,False,False,False,False
21,153,CR5- SNR 0dB - #4,78.216797,False,False,False,False
22,161,CR5- SNR 0dB - #4,103.053711,False,False,False,False
23,167,CR5- SNR 0dB - #4,119.0,False,False,False,False
24,180,CR5- SNR 0dB - #5,36.13916,False,False,False,False
25,183,CR5- SNR 0dB - #5,43.399414,False,False,False,False
26,186,CR5- SNR 0dB - #5,53.433105,False,False,False,False
27,188,CR5- SNR 0dB - #5,60.030762,False,False,False,False
28,189,CR5- SNR 0dB - #5,62.730469,False,True,False,False
29,196,CR5- SNR 0dB - #5,82.612305,False,False,False,False
30,218,CR5- SNR 0dB - #6,22.186035,False,False,False,False
31,226,CR5- SNR 0dB - #6,46.513184,False,False,False,False
32,227,CR5- SNR 0dB - #6,48.755859,False,False,False,False
33,229,CR5- SNR 0dB - #6,54.608887,False,True,False,False
34,230,CR5- SNR 0dB - #6,57.424316,True,True,False,False
35,248,CR5- SNR 0dB - #6,110.650879,False,False,False,False
36,252,CR5- SNR 0dB - #7,1.0,False,False,False,False
37,257,CR5- SNR 0dB - #7,14.739258,False,False,False,False
38,264,CR5- SNR 0dB - #7,34.897949,False,True,False,False
39,265,CR5- SNR 0dB - #7,37.205078,False,False,False,False
40,278,CR5- SNR 0dB - #7,75.179688,False,False,False,False
41,281,CR5- SNR 0dB - #7,83.685059,False,False,False,False
42,299,CR5- SNR 0dB - #8,15.548828,False,False,False,False
43,303,CR5- SNR 0dB - #8,30.340332,False,False,False,False
44,304,CR5- SNR 0dB - #8,33.718262,False,True,False,False
45,309,CR5- SNR 0dB - #8,45.127441,False,False,False,False
46,320,CR5- SNR 0dB - #8,75.742676,False,False,False,False
47,330,CR5- SNR 0dB - #8,104.915039,False,True,False,False
48,342,CR5- SNR 0dB - #9,19.614746,False,False,False,False
49,348,CR5- SNR 0dB - #9,35.467285,False,False,False,False
50,359,CR5- SNR 0dB - #9,66.181152,False,False,False,False
51,365,CR5- SNR 0dB - #9,83.348145,False,False,False,False
52,369,CR5- SNR 0dB - #9,95.12207,False,False,False,False
53,372,CR5- SNR 0dB - #9,103.953125,False,True,False,False
54,379,CR5- SNR 0dB - #10,3.583008,True,False,False,False
55,382,CR5- SNR 0dB - #10,12.415527,False,False,False,False
56,384,CR5- SNR 0dB - #10,18.637207,False,False,False,False
57,386,CR5- SNR 0dB - #10,24.715332,False,False,False,False
58,395,CR5- SNR 0dB - #10,49.303711,False,False,False,False
59,396,CR5- SNR 0dB - #10,51.887207,False,False,False,False
60,424,CR5- SNR 0dB - #11,12.812012,False,False,False,False
61,430,CR5- SNR 0dB - #11,28.80127,False,False,False,False
62,437,CR5- SNR 0dB - #11,49.277344,False,False,False,False
63,441,CR5- SNR 0dB - #11,61.773438,False,False,False,False
64,447,CR5- SNR 0dB - #11,80.624512,False,False,False,False
65,450,CR5- SNR 0dB - #11,88.356934,False,False,False,False
66,475,CR5- SNR 0dB - #12,38.26709,False,False,False,False
67,486,CR5- SNR 0dB - #12,71.018555,False,False,False,False
68,488,CR5- SNR 0dB - #12,76.050781,False,False,False,False
69,489,CR5- SNR 0dB - #12,78.999512,False,False,False,False
70,495,CR5- SNR 0dB - #12,96.492188,False,False,False,False
71,497,CR5- SNR 0dB - #12,101.980469,False,False,False,False
72,510,CR5- SNR 0dB - #13,19.729004,False,False,False,False
73,511,CR5- SNR 0dB - #13,22.287109,False,False,False,False
74,513,CR5- SNR 0dB - #13,29.484863,False,True,False,False
75,522,CR5- SNR 0dB - #13,52.455078,False,False,False,False
76,524,CR5- SNR 0dB - #13,58.712402,False,False,False,False
77,539,CR5- SNR 0dB - #13,99.804688,False,False,False,False
78,553,CR5- SNR 0dB - #14,20.299805,False,False,False,False
79,556,CR5- SNR 0dB - #14,29.137207,False,False,False,False
80,559,CR5- SNR 0dB - #14,37.593262,False,False,False,False
81,566,CR5- SNR 0dB - #14,55.981934,True,True,False,False
82,571,CR5- SNR 0dB - #14,71.580566,False,False,False,False
83,584,CR5- SNR 0dB - #14,109.099609,False,False,False,False
84,593,CR5- SNR 0dB - #15,15.207031,False,False,False,False
85,606,CR5- SNR 0dB - #15,51.34375,False,False,False,False
86,608,CR5- SNR 0dB - #15,58.347168,True,True,False,False
87,615,CR5- SNR 0dB - #15,78.356445,True,False,False,False
88,621,CR5- SNR 0dB - #15,95.931641,False,False,False,False
89,628,CR5- SNR 0dB - #15,116.648926,False,False,False,False
90,639,CR5- SNR 0dB - #16,25.537109,True,False,False,False
91,654,CR5- SNR 0dB - #16,69.228516,False,False,False,False
92,655,CR5- SNR 0dB - #16,72.101074,False,False,False,False
93,664,CR5- SNR 0dB - #16,98.861816,False,False,False,False
94,665,CR5- SNR 0dB - #16,101.964355,False,False,False,False
95,668,CR5- SNR 0dB - #16,109.504395,False,False,False,False
96,675,CR5- SNR 0dB - #17,9.141113,False,False,False,False
97,678,CR5- SNR 0dB - #17,18.546875,False,False,False,False
98,691,CR5- SNR 0dB - #17,57.40625,False,False,False,False
99,699,CR5- SNR 0dB - #17,78.46875,False,False,False,False
100,707,CR5- SNR 0dB - #17,101.791992,False,False,False,False
101,713,CR5- SNR 0dB - #17,119.0,False,False,False,False
102,716,CR5- SNR 0dB - #18,5.807129,False,True,False,False
103,725,CR5- SNR 0dB - #18,32.115723,False,False,False,False
104,731,CR5- SNR 0dB - #18,50.383301,False,False,False,False
105,735,CR5- SNR 0dB - #18,62.178223,False,False,False,False
106,741,CR5- SNR 0dB - #18,78.533691,False,False,False,False
107,746,CR5- SNR 0dB - #18,94.269531,False,False,False,False
108,756,CR5- SNR 0dB - #19,1.0,False,False,False,False
109,759,CR5- SNR 0dB - #19,9.191406,False,False,False,False
110,765,CR5- SNR 0dB - #19,27.053223,False,False,False,False
111,778,CR5- SNR 0dB - #19,64.217773,False,False,False,False
112,781,CR5- SNR 0dB - #19,71.870117,False,False,False,False
113,784,CR5- SNR 0dB - #19,80.246582,False,False,False,False
114,798,CR5- SNR 0dB - #20,1.0,False,False,False,False
115,806,CR5- SNR 0dB - #20,23.538086,False,False,False,False
116,808,CR5- SNR 0dB - #20,30.751465,False,False,False,False
117,815,CR5- SNR 0dB - #20,50.818848,False,True,False,False
118,818,CR5- SNR 0dB - #20,59.80127,True,True,False,False
119,833,CR5- SNR 0dB - #20,103.453125,False,False,False,False
120,846,CR5- SNR 0dB - #21,17.108887,False,False,False,False
121,850,CR5- SNR 0dB - #21,28.690918,False,False,False,False
122,859,CR5- SNR 0dB - #21,55.313965,False,False,False,False
123,860,CR5- SNR 0dB - #21,58.43457,False,True,False,False
124,865,CR5- SNR 0dB - #21,72.663574,False,False,False,False
125,874,CR5- SNR 0dB - #21,99.617188,False,False,False,False
126,885,CR5- SNR 0dB - #22,10.785645,False,False,False,False
127,892,CR5- SNR 0dB - #22,30.123535,False,False,False,False
128,897,CR5- SNR 0dB - #22,44.298828,False,False,False,False
129,909,CR5- SNR 0dB - #22,79.791504,False,False,False,False
130,914,CR5- SNR 0dB - #22,93.430664,False,False,False,False
131,919,CR5- SNR 0dB - #22,106.330566,False,False,False,False
132,934,CR5- SNR 0dB - #23,30.884766,False,False,False,False
133,937,CR5- SNR 0dB - #23,40.830078,False,False,False,False
134,942,CR5- SNR 0dB - #23,56.291504,False,False,False,False
135,948,CR5- SNR 0dB - #23,72.101563,False,False,False,False
136,950,CR5- SNR 0dB - #23,77.86377,False,True,False,False
137,959,CR5- SNR 0dB - #23,102.459961,False,False,False,False
138,978,CR5- SNR 0dB - #24,37.07959,False,False,False,False
139,981,CR5- SNR 0dB - #24,44.667969,False,False,False,False
140,983,CR5- SNR 0dB - #24,50.858887,False,False,False,False
141,987,CR5- SNR 0dB - #24,62.342285,True,True,False,False
142,988,CR5- SNR 0dB - #24,64.96875,False,False,False,False
143,1000,CR5- SNR 0dB - #24,98.030273,False,False,False,False
144,1014,CR5- SNR 0dB - #25,17.520508,False,False,False,False
145,1017,CR5- SNR 0dB - #25,25.88623,False,True,False,False
146,1019,CR5- SNR 0dB - #25,31.447266,False,False,False,False
147,1027,CR5- SNR 0dB - #25,53.914551,False,False,False,False
148,1038,CR5- SNR 0dB - #25,86.501953,False,True,False,False
149,1039,CR5- SNR 0dB - #25,89.575684,False,False,False,False
150,1050,CR5- SNR 0dB - #26,1.0,False,False,False,False
151,1052,CR5- SNR 0dB - #26,5.522461,False,False,False,False
152,1061,CR5- SNR 0dB - #26,32.224121,False,False,False,False
153,1078,CR5- SNR 0dB - #26,82.850586,False,False,False,False
154,1083,CR5- SNR 0dB - #26,96.138672,False,False,False,False
155,1085,CR5- SNR 0dB - #26,101.320801,False,False,False,False
156,1095,CR5- SNR 0dB - #27,9.665039,False,False,False,False
157,1102,CR5- SNR 0dB - #27,31.143555,False,False,False,False
158,1120,CR5- SNR 0dB - #27,80.432617,False,False,False,False
159,1122,CR5- SNR 0dB - #27,86.088379,False,False,False,False
160,1124,CR5- SNR 0dB - #27,92.098633,False,False,False,False
161,1128,CR5- SNR 0dB - #27,103.688965,False,False,False,False
162,1139,CR5- SNR 0dB - #28,14.613281,False,False,False,False
163,1141,CR5- SNR 0dB - #28,21.875,False,False,False,False
164,1143,CR5- SNR 0dB - #28,27.860352,False,False,False,False
165,1155,CR5- SNR 0dB - #28,59.837891,False,False,False,False
166,1159,CR5- SNR 0dB - #28,71.692871,False,False,False,False
167,1165,CR5- SNR 0dB - #28,90.121582,False,False,False,False
168,1184,CR5- SNR 0dB - #29,23.71875,False,False,False,False
169,1187,CR5- SNR 0dB - #29,31.327148,False,False,False,False
170,1190,CR5- SNR 0dB - #29,40.93457,False,False,False,False
171,1198,CR5- SNR 0dB - #29,63.570801,True,False,False,False
172,1202,CR5- SNR 0dB - #29,75.584961,False,False,False,False
173,1203,CR5- SNR 0dB - #29,78.813477,False,False,False,False
174,1223,CR5- SNR 0dB - #30,16.208008,False,False,False,False
175,1234,CR5- SNR 0dB - #30,47.250488,False,False,False,False
176,1236,CR5- SNR 0dB - #30,52.63916,False,False,False,False
177,1239,CR5- SNR 0dB - #30,61.547852,False,False,False,False
178,1252,CR5- SNR 0dB - #30,99.64502,False,False,False,False
179,1256,CR5- SNR 0dB - #30,110.805176,False,False,False,False
180,1262,CR5- SNR 5dB - #1,6.726563,True,True,False,False
181,1264,CR5- SNR 5dB - #1,12.299805,True,True,False,False
182,1268,CR5- SNR 5dB - #1,22.930664,True,True,False,False
183,1284,CR5- SNR 5dB - #1,67.125488,True,True,False,False
184,1290,CR5- SNR 5dB - #1,83.844238,False,False,False,False
185,1293,CR5- SNR 5dB - #1,92.451172,False,True,False,False
186,1307,CR5- SNR 5dB - #2,14.206055,False,False,False,False
187,1311,CR5- SNR 5dB - #2,25.159668,True,False,False,False
188,1316,CR5- SNR 5dB - #2,40.804688,False,True,False,False
189,1326,CR5- SNR 5dB - #2,70.773926,True,True,False,False
190,1336,CR5- SNR 5dB - #2,98.581055,True,True,False,False
191,1342,CR5- SNR 5dB - #2,116.361328,True,True,False,False
192,1360,CR5- SNR 5dB - #3,43.444824,True,True,False,False
193,1365,CR5- SNR 5dB - #3,58.666992,True,True,False,False
194,1378,CR5- SNR 5dB - #3,98.088379,True,True,False,False
195,1383,CR5- SNR 5dB - #3,113.109863,True,True,False,False
196,1384,CR5- SNR 5dB - #3,115.469727,True,True,False,False
197,1385,CR5- SNR 5dB - #3,119.0,True,True,False,False
198,1386,CR5- SNR 5dB - #4,1.0,True,True,False,False
199,1393,CR5- SNR 5dB - #4,20.621582,True,True,False,False
200,1394,CR5- SNR 5dB - #4,23.629395,False,True,False,False
201,1413,CR5- SNR 5dB - #4,78.631836,True,True,False,False
202,1417,CR5- SNR 5dB - #4,89.813477,True,True,False,False
203,1423,CR5- SNR 5dB - #4,106.337402,True,True,False,False
204,1434,CR5- SNR 5dB - #5,19.015137,False,True,False,False
205,1440,CR5- SNR 5dB - #5,37.052734,True,False,False,False
206,1448,CR5- SNR 5dB - #5,60.446289,True,True,False,False
207,1455,CR5- SNR 5dB - #5,79.115723,True,True,False,False
208,1461,CR5- SNR 5dB - #5,95.948242,True,True,False,False
209,1466,CR5- SNR 5dB - #5,110.275391,True,True,False,False
210,1480,CR5- SNR 5dB - #6,28.193848,True,True,False,False
211,1481,CR5- SNR 5dB - #6,31.337402,True,True,False,False
212,1487,CR5- SNR 5dB - #6,48.661133,True,False,False,False
213,1491,CR5- SNR 5dB - #6,60.509277,True,False,False,False
214,1495,CR5- SNR 5dB - #6,73.148926,False,True,False,False
215,1498,CR5- SNR 5dB - #6,81.549316,True,False,False,False
216,1512,CR5- SNR 5dB - #7,1.0,True,True,False,False
217,1519,CR5- SNR 5dB - #7,21.611816,True,True,False,False
218,1531,CR5- SNR 5dB - #7,54.833984,True,True,False,False
219,1536,CR5- SNR 5dB - #7,71.064941,True,True,False,False
220,1544,CR5- SNR 5dB - #7,93.455566,True,True,False,False
221,1551,CR5- SNR 5dB - #7,113.057129,True,True,False,False
222,1554,CR5- SNR 5dB - #8,1.0,True,True,False,False
223,1559,CR5- SNR 5dB - #8,16.677246,True,True,False,False
224,1568,CR5- SNR 5dB - #8,44.094238,True,True,False,False
225,1573,CR5- SNR 5dB - #8,58.674316,True,True,False,False
226,1574,CR5- SNR 5dB - #8,61.691406,True,True,False,False
227,1580,CR5- SNR 5dB - #8,78.677246,True,True,False,False
228,1599,CR5- SNR 5dB - #9,7.870605,True,True,False,False
229,1612,CR5- SNR 5dB - #9,47.088379,True,True,False,False
230,1624,CR5- SNR 5dB - #9,82.412598,True,True,False,False
231,1625,CR5- SNR 5dB - #9,85.277344,True,True,False,False
232,1631,CR5- SNR 5dB - #9,101.812012,False,False,False,False
233,1637,CR5- SNR 5dB - #9,119.0,True,True,False,False
234,1638,CR5- SNR 5dB - #10,1.0,True,True,False,False
235,1641,CR5- SNR 5dB - #10,9.036133,True,True,False,False
236,1646,CR5- SNR 5dB - #10,25.900879,False,False,False,False
237,1650,CR5- SNR 5dB - #10,37.811035,True,True,False,False
238,1657,CR5- SNR 5dB - #10,58.388672,False,False,False,False
239,1663,CR5- SNR 5dB - #10,74.763184,True,True,False,False
240,1692,CR5- SNR 5dB - #11,35.980469,True,True,False,False
241,1704,CR5- SNR 5dB - #11,68.75293,False,True,False,False
242,1707,CR5- SNR 5dB - #11,79.27832,True,True,False,False
243,1708,CR5- SNR 5dB - #11,81.212402,True,True,False,False
244,1709,CR5- SNR 5dB - #11,83.195801,True,True,False,False
245,1719,CR5- SNR 5dB - #11,112.59082,True,True,False,False
246,1730,CR5- SNR 5dB - #12,24.306152,True,True,False,False
247,1736,CR5- SNR 5dB - #12,42.04541,True,False,False,False
248,1750,CR5- SNR 5dB - #12,81.422363,True,False,False,False
249,1752,CR5- SNR 5dB - #12,86.708496,True,True,False,False
