JSON-index,JSON-ID,chan_name,event_time,pass_step1,pass_step2,pass_step3_NN,pass_step3_sig
0,1,CR5- SNR 0dB - #1,3.901855,False,False,False,False
1,5,CR5- SNR 0dB - #1,14.568359,False,False,False,False
2,8,CR5- SNR 0dB - #1,22.666504,False,False,False,False
3,15,CR5- SNR 0dB - #1,40.933594,False,False,False,False
4,19,CR5- SNR 0dB - #1,52.108887,False,False,False,False
5,33,CR5- SNR 0dB - #1,93.769043,False,False,False,False
6,44,CR5- SNR 0dB - #2,6.007324,False,False,False,False
7,60,CR5- SNR 0dB - #2,53.688965,False,False,False,False
8,61,CR5- SNR 0dB - #2,55.707031,False,False,False,False
9,66,CR5- SNR 0dB - #2,70.87793,False,False,False,False
10,72,CR5- SNR 0dB - #2,87.240723,False,False,False,False
11,78,CR5- SNR 0dB - #2,104.336914,False,False,False,False
12,89,CR5- SNR 0dB - #3,15.350586,False,False,False,False
13,95,CR5- SNR 0dB - #3,31.719727,False,False,False,False
14,99,CR5- SNR 0dB - #3,43.257324,False,False,False,False
15,101,CR5- SNR 0dB - #3,48.745605,False,False,False,False
16,104,CR5- SNR 0dB - #3,56.90625,False,False,False,False
17,125,CR5- SNR 0dB - #3,119.0,False,False,False,False
18,135,CR5- SNR 0dB - #4,25.59375,False,False,False,False
19,142,CR5- SNR 0dB - #4,45.475586,False,False,False,False
20,143,CR5- SNR 0dB - #4,48.715332,False,False,False,False
21,150,CR5- SNR 0dB - #4,70.049805,False,False,False,False
22,154,CR5- SNR 0dB - #4,81.905762,False,False,False,False
23,163,CR5- SNR 0dB - #4,108.0,False,False,False,False
24,175,CR5- SNR 0dB - #5,20.78418,False,False,False,False
25,197,CR5- SNR 0dB - #5,84.881348,False,False,False,False
26,199,CR5- SNR 0dB - #5,90.238281,False,False,False,False
27,200,CR5- SNR 0dB - #5,93.789551,False,False,False,False
28,206,CR5- SNR 0dB - #5,111.647461,False,False,False,False
29,209,CR5- SNR 0dB - #5,119.0,False,False,False,False
30,211,CR5- SNR 0dB - #6,4.221191,False,False,False,False
31,217,CR5- SNR 0dB - #6,19.561035,False,False,False,False
32,236,CR5- SNR 0dB - #6,76.424316,False,False,False,False
33,244,CR5- SNR 0dB - #6,98.956055,False,False,False,False
34,245,CR5- SNR 0dB - #6,102.954102,False,False,False,False
35,251,CR5- SNR 0dB - #6,119.0,False,False,False,False
36,254,CR5- SNR 0dB - #7,6.21582,False,False,False,False
37,258,CR5- SNR 0dB - #7,17.43457,False,False,False,False
38,259,CR5- SNR 0dB - #7,19.409668,False,False,False,False
39,263,CR5- SNR 0dB - #7,31.878418,False,False,False,False
40,269,CR5- SNR 0dB - #7,49.488281,False,False,False,False
41,280,CR5- SNR 0dB - #7,81.014648,False,False,False,False
42,307,CR5- SNR 0dB - #8,41.071289,False,False,False,False
43,308,CR5- SNR 0dB - #8,43.246094,False,False,False,False
44,310,CR5- SNR 0dB - #8,47.869629,False,False,False,False
45,314,CR5- SNR 0dB - #8,58.851563,False,False,False,False
46,327,CR5- SNR 0dB - #8,96.103516,False,False,False,False
47,335,CR5- SNR 0dB - #8,119.0,False,False,False,False
