JSON-index,JSON-ID,chan_name,event_time,pass_step1,pass_step2,pass_step3_NN,pass_step3_sig
0,7,CR5- SNR 0dB - #1,20.57666,False,False,False,False
1,11,CR5- SNR 0dB - #1,30.496094,False,False,False,False
2,21,CR5- SNR 0dB - #1,57.319824,False,False,False,False
3,24,CR5- SNR 0dB - #1,65.839844,False,False,False,False
4,26,CR5- SNR 0dB - #1,71.628906,False,False,False,False
5,27,CR5- SNR 0dB - #1,74.972168,False,False,False,False
6,43,CR5- SNR 0dB - #2,3.976563,False,False,False,False
7,48,CR5- SNR 0dB - #2,17.700684,False,False,False,False
8,51,CR5- SNR 0dB - #2,26.549316,False,False,False,False
9,71,CR5- SNR 0dB - #2,84.146973,False,False,False,False
10,76,CR5- SNR 0dB - #2,98.220215,False,False,False,False
11,77,CR5- SNR 0dB - #2,101.945313,False,False,False,False
12,87,CR5- SNR 0dB - #3,9.282715,False,False,False,False
13,98,CR5- SNR 0dB - #3,40.176758,False,False,False,False
14,108,CR5- SNR 0dB - #3,70.407227,False,False,False,False
15,112,CR5- SNR 0dB - #3,80.913086,False,False,False,False
16,113,CR5- SNR 0dB - #3,83.840332,False,False,False,False
17,117,CR5- SNR 0dB - #3,95.800781,False,False,False,False
18,134,CR5- SNR 0dB - #4,23.101074,False,False,False,False
19,136,CR5- SNR 0dB - #4,27.895996,False,False,False,False
20,139,CR5- SNR 0dB - #4,36.846191,False,False,False,False
21,149,CR5- SNR 0dB - #4,67.097656,False,False,False,False
22,157,CR5- SNR 0dB - #4,91.46875,False,False,False,False
23,165,CR5- SNR 0dB - #4,113.992188,False,False,False,False
24,170,CR5- SNR 0dB - #5,4.966797,False,False,False,False
25,182,CR5- SNR 0dB - #5,40.833984,False,False,False,False
26,195,CR5- SNR 0dB - #5,80.599121,False,False,False,False
27,201,CR5- SNR 0dB - #5,96.95166,False,False,False,False
28,204,CR5- SNR 0dB - #5,106.108398,False,False,False,False
29,205,CR5- SNR 0dB - #5,109.122559,False,False,False,False
30,210,CR5- SNR 0dB - #6,1.0,False,False,False,False
31,224,CR5- SNR 0dB - #6,40.993164,False,False,False,False
32,232,CR5- SNR 0dB - #6,63.292969,False,False,False,False
33,238,CR5- SNR 0dB - #6,82.546387,False,False,False,False
34,240,CR5- SNR 0dB - #6,87.877441,False,False,False,False
35,241,CR5- SNR 0dB - #6,90.68457,False,False,False,False
36,256,CR5- SNR 0dB - #7,11.912109,False,False,False,False
37,274,CR5- SNR 0dB - #7,62.990723,False,False,False,False
38,283,CR5- SNR 0dB - #7,90.267578,False,False,False,False
39,287,CR5- SNR 0dB - #7,100.352051,False,False,False,False
40,288,CR5- SNR 0dB - #7,103.330078,False,False,False,False
41,291,CR5- SNR 0dB - #7,112.452637,False,False,False,False
42,295,CR5- SNR 0dB - #8,3.692871,False,False,False,False
43,302,CR5- SNR 0dB - #8,26.477051,False,False,False,False
44,306,CR5- SNR 0dB - #8,38.868164,False,False,False,False
45,329,CR5- SNR 0dB - #8,102.131348,False,False,False,False
46,331,CR5- SNR 0dB - #8,107.168945,False,False,False,False
47,333,CR5- SNR 0dB - #8,112.597168,False,False,False,False
48,339,CR5- SNR 0dB - #9,10.588867,False,False,False,False
49,345,CR5- SNR 0dB - #9,28.359375,False,False,False,False
