JSON-index,JSON-ID,chan_name,event_time,pass_step1,pass_step2,pass_step3_NN,pass_step3_sig
0,3,CR5- SNR 0dB - #1,9.466797,False,False,False,False
1,4,CR5- SNR 0dB - #1,11.710449,False,False,False,False
2,30,CR5- SNR 0dB - #1,84.39502,True,False,False,False
3,32,CR5- SNR 0dB - #1,90.513184,False,False,False,False
4,35,CR5- SNR 0dB - #1,99.865723,False,False,False,False
5,38,CR5- SNR 0dB - #1,109.569824,False,False,False,False
6,49,CR5- SNR 0dB - #2,20.70166,False,False,False,False
7,52,CR5- SNR 0dB - #2,29.322266,False,True,False,False
8,55,CR5- SNR 0dB - #2,38.105957,False,False,False,False
9,58,CR5- SNR 0dB - #2,47.16748,False,True,False,False
10,79,CR5- SNR 0dB - #2,107.408691,False,False,False,False
11,83,CR5- SNR 0dB - #2,119.0,False,False,False,False
12,84,CR5- SNR 0dB - #3,1.0,False,False,False,False
13,85,CR5- SNR 0dB - #3,4.439941,False,False,False,False
14,88,CR5- SNR 0dB - #3,12.181641,True,False,False,False
15,106,CR5- SNR 0dB - #3,64.057617,False,False,False,False
16,111,CR5- SNR 0dB - #3,78.399902,False,False,False,False
17,124,CR5- SNR 0dB - #3,116.524414,False,False,False,False
18,127,CR5- SNR 0dB - #4,3.111816,False,False,False,False
19,145,CR5- SNR 0dB - #4,54.772461,False,False,False,False
20,155,CR5- SNR 0dB - #4,85.54541,False,False,False,False
21,156,CR5- SNR 0dB - #4,88.812012,False,True,False,False
22,158,CR5- SNR 0dB - #4,94.4375,False,False,False,False
23,159,CR5- SNR 0dB - #4,96.990234,False,False,False,False
24,168,CR5- SNR 0dB - #5,1.0,False,False,False,False
25,169,CR5- SNR 0dB - #5,3.009277,False,False,False,False
26,176,CR5- SNR 0dB - #5,23.635742,False,False,False,False
27,177,CR5- SNR 0dB - #5,27.18457,False,False,False,False
28,184,CR5- SNR 0dB - #5,46.887207,False,False,False,False
29,192,CR5- SNR 0dB - #5,71.457031,False,False,False,False
30,222,CR5- SNR 0dB - #6,34.684082,False,False,False,False
31,233,CR5- SNR 0dB - #6,66.11377,False,False,False,False
32,237,CR5- SNR 0dB - #6,78.96875,True,False,False,False
33,239,CR5- SNR 0dB - #6,85.064941,False,False,False,False
34,243,CR5- SNR 0dB - #6,96.212402,False,False,False,False
35,246,CR5- SNR 0dB - #6,105.43457,False,True,False,False
36,277,CR5- SNR 0dB - #7,72.484375,False,False,False,False
37,285,CR5- SNR 0dB - #7,94.766602,False,False,False,False
38,286,CR5- SNR 0dB - #7,97.500488,False,False,False,False
39,289,CR5- SNR 0dB - #7,106.776367,False,True,False,False
40,290,CR5- SNR 0dB - #7,109.09375,False,False,False,True
41,292,CR5- SNR 0dB - #7,115.551758,False,False,False,False
42,297,CR5- SNR 0dB - #8,9.529785,False,False,False,False
43,315,CR5- SNR 0dB - #8,60.609863,False,False,False,False
44,317,CR5- SNR 0dB - #8,65.48877,False,False,False,False
45,318,CR5- SNR 0dB - #8,69.478027,True,True,False,False
46,324,CR5- SNR 0dB - #8,87.164551,False,False,False,False
47,325,CR5- SNR 0dB - #8,90.302246,True,False,False,False
48,343,CR5- SNR 0dB - #9,22.740723,False,False,False,False
49,351,CR5- SNR 0dB - #9,43.972656,False,False,False,False
50,352,CR5- SNR 0dB - #9,47.045898,False,False,False,False
51,362,CR5- SNR 0dB - #9,74.766602,False,False,False,False
52,366,CR5- SNR 0dB - #9,85.686035,False,False,False,False
53,374,CR5- SNR 0dB - #9,110.438477,False,False,False,False
54,393,CR5- SNR 0dB - #10,43.773926,False,False,False,False
55,411,CR5- SNR 0dB - #10,95.654297,False,False,False,False
56,412,CR5- SNR 0dB - #10,98.271973,False,False,False,False
57,413,CR5- SNR 0dB - #10,101.160645,False,False,False,False
58,415,CR5- SNR 0dB - #10,107.97998,False,False,False,False
59,419,CR5- SNR 0dB - #10,119.0,False,False,False,False
60,426,CR5- SNR 0dB - #11,18.320313,False,False,False,False
61,435,CR5- SNR 0dB - #11,42.960938,False,False,False,False
62,453,CR5- SNR 0dB - #11,97.519531,False,False,False,False
63,454,CR5- SNR 0dB - #11,100.239746,False,False,False,False
64,457,CR5- SNR 0dB - #11,108.15918,False,False,False,False
65,459,CR5- SNR 0dB - #11,113.037598,False,False,False,False
66,462,CR5- SNR 0dB - #12,1.0,False,False,False,False
67,465,CR5- SNR 0dB - #12,9.080566,False,False,False,False
68,466,CR5- SNR 0dB - #12,12.765625,False,False,False,False
69,481,CR5- SNR 0dB - #12,56.029785,False,False,False,False
70,492,CR5- SNR 0dB - #12,87.533691,False,True,False,False
71,496,CR5- SNR 0dB - #12,99.48291,False,False,False,False
72,507,CR5- SNR 0dB - #13,10.5,True,False,False,False
73,523,CR5- SNR 0dB - #13,55.072754,False,False,False,False
74,526,CR5- SNR 0dB - #13,63.313965,False,False,False,False
75,534,CR5- SNR 0dB - #13,85.583008,False,False,False,False
76,541,CR5- SNR 0dB - #13,106.581543,False,False,False,False
77,543,CR5- SNR 0dB - #13,112.258789,False,False,False,False
78,547,CR5- SNR 0dB - #14,4.398438,False,True,False,False
79,560,CR5- SNR 0dB - #14,40.004395,False,False,False,False
80,568,CR5- SNR 0dB - #14,62.409668,False,False,False,False
81,575,CR5- SNR 0dB - #14,83.52832,False,True,False,False
82,580,CR5- SNR 0dB - #14,98.700684,False,False,False,False
83,583,CR5- SNR 0dB - #14,106.377441,False,False,False,False
84,591,CR5- SNR 0dB - #15,9.160645,False,False,False,False
85,594,CR5- SNR 0dB - #15,18.431641,False,False,False,False
86,609,CR5- SNR 0dB - #15,60.760742,False,False,False,False
87,614,CR5- SNR 0dB - #15,75.243164,False,False,False,False
88,619,CR5- SNR 0dB - #15,90.101563,False,False,False,False
89,622,CR5- SNR 0dB - #15,99.237305,False,False,False,False
90,630,CR5- SNR 0dB - #16,1.0,False,False,False,False
91,643,CR5- SNR 0dB - #16,37.23877,False,False,False,False
92,652,CR5- SNR 0dB - #16,63.23877,False,False,False,False
93,656,CR5- SNR 0dB - #16,74.444824,False,False,False,False
94,660,CR5- SNR 0dB - #16,86.71875,False,False,False,False
95,667,CR5- SNR 0dB - #16,106.494629,False,False,False,False
96,676,CR5- SNR 0dB - #17,12.231445,False,False,False,False
97,692,CR5- SNR 0dB - #17,59.922852,False,False,False,False
98,700,CR5- SNR 0dB - #17,81.32373,False,False,False,False
99,702,CR5- SNR 0dB - #17,86.661133,False,False,False,False
100,710,CR5- SNR 0dB - #17,110.58252,False,False,False,False
101,712,CR5- SNR 0dB - #17,116.974609,False,False,False,False
102,722,CR5- SNR 0dB - #18,23.224609,False,False,False,False
103,726,CR5- SNR 0dB - #18,34.580566,False,False,False,False
104,728,CR5- SNR 0dB - #18,40.355957,False,False,False,False
105,730,CR5- SNR 0dB - #18,47.34668,False,False,False,False
106,743,CR5- SNR 0dB - #18,85.337402,False,False,False,False
107,744,CR5- SNR 0dB - #18,88.209473,False,False,False,False
108,764,CR5- SNR 0dB - #19,24.050781,False,False,False,False
109,768,CR5- SNR 0dB - #19,36.709961,False,False,False,False
110,771,CR5- SNR 0dB - #19,44.862793,False,False,False,False
111,787,CR5- SNR 0dB - #19,88.536621,False,False,False,False
112,792,CR5- SNR 0dB - #19,104.123047,False,False,False,False
113,796,CR5- SNR 0dB - #19,116.13916,False,False,False,False
114,817,CR5- SNR 0dB - #20,56.591309,True,True,False,False
115,819,CR5- SNR 0dB - #20,63.214844,False,False,False,False
116,820,CR5- SNR 0dB - #20,65.845703,False,False,False,False
117,823,CR5- SNR 0dB - #20,74.70752,False,False,False,False
118,828,CR5- SNR 0dB - #20,88.935059,False,False,False,False
119,839,CR5- SNR 0dB - #20,119.0,False,False,False,False
120,847,CR5- SNR 0dB - #21,20.20752,False,False,False,False
121,848,CR5- SNR 0dB - #21,22.866211,False,False,False,False
122,852,CR5- SNR 0dB - #21,34.563965,False,False,False,False
123,866,CR5- SNR 0dB - #21,75.287598,False,False,False,False
124,879,CR5- SNR 0dB - #21,113.291016,False,False,False,False
125,880,CR5- SNR 0dB - #21,116.195801,False,False,False,False
126,889,CR5- SNR 0dB - #22,22.788086,False,False,False,False
127,899,CR5- SNR 0dB - #22,49.605957,False,False,False,False
128,913,CR5- SNR 0dB - #22,90.992676,True,False,False,False
129,915,CR5- SNR 0dB - #22,96.229004,False,False,False,False
130,922,CR5- SNR 0dB - #22,115.833496,False,True,False,False
131,923,CR5- SNR 0dB - #22,119.0,False,False,False,False
132,939,CR5- SNR 0dB - #23,46.715332,False,True,False,False
133,954,CR5- SNR 0dB - #23,87.719727,False,False,False,False
134,957,CR5- SNR 0dB - #23,96.444336,False,False,False,False
135,960,CR5- SNR 0dB - #23,105.310547,False,False,False,False
136,961,CR5- SNR 0dB - #23,108.82666,False,False,False,False
137,965,CR5- SNR 0dB - #23,119.0,False,False,False,False
138,970,CR5- SNR 0dB - #24,12.624023,False,False,False,False
139,972,CR5- SNR 0dB - #24,18.916504,False,False,False,False
140,982,CR5- SNR 0dB - #24,47.702148,False,False,False,False
141,986,CR5- SNR 0dB - #24,59.142578,False,False,False,False
142,993,CR5- SNR 0dB - #24,77.899414,False,False,False,False
143,995,CR5- SNR 0dB - #24,84.060547,False,False,False,False
144,1010,CR5- SNR 0dB - #25,7.567871,False,False,False,False
145,1013,CR5- SNR 0dB - #25,15.019531,False,False,False,False
146,1024,CR5- SNR 0dB - #25,46.049805,False,False,False,False
147,1040,CR5- SNR 0dB - #25,92.763184,False,False,False,False
148,1043,CR5- SNR 0dB - #25,100.635742,False,False,False,False
149,1046,CR5- SNR 0dB - #25,109.128418,False,False,False,False
150,1051,CR5- SNR 0dB - #26,3.404297,False,False,False,False
151,1057,CR5- SNR 0dB - #26,20.942383,False,False,False,False
152,1066,CR5- SNR 0dB - #26,45.717285,False,False,False,False
153,1076,CR5- SNR 0dB - #26,77.061523,False,False,False,False
154,1087,CR5- SNR 0dB - #26,107.148926,False,False,False,False
155,1091,CR5- SNR 0dB - #26,119.0,False,False,False,False
156,1092,CR5- SNR 0dB - #27,1.0,False,False,False,False
157,1103,CR5- SNR 0dB - #27,34.337402,False,False,False,False
158,1109,CR5- SNR 0dB - #27,51.280762,False,False,False,False
159,1110,CR5- SNR 0dB - #27,54.312988,False,False,False,False
160,1123,CR5- SNR 0dB - #27,88.539551,False,False,False,False
