JSON-index,JSON-ID,chan_name,event_time,pass_step1,pass_step2,pass_step3_NN,pass_step3_sig
0,6,CR5- SNR 0dB - #1,17.462891,False,False,False,False
1,25,CR5- SNR 0dB - #1,68.61084,False,False,False,False
2,29,CR5- SNR 0dB - #1,80.85498,False,False,False,False
3,31,CR5- SNR 0dB - #1,87.235352,False,False,False,False
4,39,CR5- SNR 0dB - #1,112.395996,False,False,False,False
5,41,CR5- SNR 0dB - #1,119.0,False,False,False,False
6,47,CR5- SNR 0dB - #2,14.182129,False,False,False,False
7,50,CR5- SNR 0dB - #2,23.815918,False,False,False,False
8,57,CR5- SNR 0dB - #2,44.07959,False,False,False,False
9,69,CR5- SNR 0dB - #2,79.815918,False,False,False,False
10,74,CR5- SNR 0dB - #2,93.040039,False,False,False,False
11,80,CR5- SNR 0dB - #2,110.013184,False,False,False,False
12,90,CR5- SNR 0dB - #3,17.564453,False,False,False,False
13,91,CR5- SNR 0dB - #3,20.033203,False,False,False,False
14,92,CR5- SNR 0dB - #3,23.15332,False,False,False,False
15,96,CR5- SNR 0dB - #3,35.100586,False,False,False,False
16,110,CR5- SNR 0dB - #3,75.762695,False,False,False,False
17,114,CR5- SNR 0dB - #3,86.444824,False,False,False,False
18,128,CR5- SNR 0dB - #4,6.369629,False,False,False,False
19,129,CR5- SNR 0dB - #4,9.652832,False,False,False,False
20,141,CR5- SNR 0dB - #4,42.584961,False,False,False,False
21,147,CR5- SNR 0dB - #4,60.698242,False,False,False,False
22,152,CR5- SNR 0dB - #4,75.855469,False,False,False,False
23,164,CR5- SNR 0dB - #4,110.434082,False,False,False,False
24,174,CR5- SNR 0dB - #5,18.173828,False,False,False,False
25,181,CR5- SNR 0dB - #5,38.658691,False,False,False,False
26,187,CR5- SNR 0dB - #5,57.363281,False,False,False,False
27,193,CR5- SNR 0dB - #5,74.456543,False,False,False,False
28,203,CR5- SNR 0dB - #5,102.935059,False,False,False,False
29,208,CR5- SNR 0dB - #5,116.396973,False,False,False,False
30,214,CR5- SNR 0dB - #6,11.378418,False,False,False,False
31,216,CR5- SNR 0dB - #6,16.355469,False,False,False,False
32,223,CR5- SNR 0dB - #6,37.62793,False,False,False,True
33,225,CR5- SNR 0dB - #6,43.362793,False,False,False,False
34,231,CR5- SNR 0dB - #6,60.922852,False,False,False,False
35,242,CR5- SNR 0dB - #6,93.720215,False,False,False,False
36,255,CR5- SNR 0dB - #7,8.464355,False,False,False,False
37,262,CR5- SNR 0dB - #7,29.170898,False,False,False,False
38,266,CR5- SNR 0dB - #7,39.942871,False,False,False,False
39,267,CR5- SNR 0dB - #7,42.828613,False,False,False,False
40,276,CR5- SNR 0dB - #7,69.157227,False,False,False,False
41,279,CR5- SNR 0dB - #7,78.46582,False,False,False,False
42,294,CR5- SNR 0dB - #8,1.0,False,False,False,False
43,298,CR5- SNR 0dB - #8,12.776367,False,False,False,False
44,300,CR5- SNR 0dB - #8,19.560547,False,False,False,False
45,305,CR5- SNR 0dB - #8,36.305664,False,False,False,False
46,323,CR5- SNR 0dB - #8,84.394043,False,False,False,False
47,326,CR5- SNR 0dB - #8,92.935059,False,False,False,False
48,336,CR5- SNR 0dB - #9,1.0,False,False,False,False
49,340,CR5- SNR 0dB - #9,13.092285,False,False,False,False
50,344,CR5- SNR 0dB - #9,24.992188,False,False,False,False
51,354,CR5- SNR 0dB - #9,52.63916,False,False,False,False
